id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
23,5YGhQpZhMBTJ4ROUns2MVB,Party Like Its 1920,The Swinghoppers,44,2CbjLp4V5JpYQaFNfSiGmp,Party Like Its 1920,1/3/2020,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.75,0.95,9,-5.059,0,0.167,0.137,3.93e-05,0.426,0.707,119.962,185000
24,6MJUCumnQsQEKbCy28tbCP,Adictiva,Daddy Yankee,77,7Eeyj4vopzd7c1aAhwXFGU,Adictiva,11/9/2018,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853
25,0w339q5XFjT2dRjbxjaUSc,The Universe Is Ours,Headhunterz,39,6pr8RpBxz7baGdNhrDFPTx,The Universe Is Ours,12/14/2015,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,0.398,0.906,6,-3.521,0,0.0538,0.00677,0.0111,0.372,0.266,127.97,214766
26,1Cr0L9EsOePPOAoXRTxo1p,Hold the Line,TOTO,49,5ChYBNgy8o2ps5716s1GH2,Greatest Hits: 40 Trips Around The Sun,2/9/2018,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.478,0.876,6,-5.669,0,0.0568,0.00812,0.064,0.167,0.78,145.225,235480
27,7nD2JPaxIKUdxd2UWgnaGL,Toda - Remix,Alex Rose,6,41Ji5KmFdqEGcLH8Yi7RVh,Toda (Remix),6/1/2018,Trap Argentino - Trap Argentina,6ltss0ThreZ3uIMn5mr4Tm,rap,trap,0.512,0.452,5,-7.217,0,0.124,0.16,0,0.0672,0.364,80.04,367680
28,7qeWNGBqqagdwf4KnjRzGZ,U Played (feat. Lil Baby),Moneybagg Yo,70,6Wq84YPRzpAIY8CEeluUlv,Time Served,1/10/2020,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,0.874,0.847,2,-3.574,1,0.233,0.00341,0,0.29,0.881,134.965,164754
29,6INwti4FZM31l0lJDKbpxn,Jubel - Radio Edit,Klingande,52,2QKdLS1J4yQ20q8ivavV6S,Jubel,1/1/2014,Tropical Morning,0vbtbmyihyvl2MVYrdKdGw,latin,tropical,0.686,0.524,0,-7.251,1,0.0343,0.649,0.0569,0.14,0.0951,124.938,201627
30,29wJiSQcze8HEmxkUQykyp,Carrie,Europe,70,5Jkd47JEaCU1g4DcGBnHm3,The Final Countdown (Expanded Edition),1986,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,0y8MUle9Lf8VDNjPsskzJB,rock,hard rock,0.457,0.487,7,-7.112,1,0.0266,0.113,2.37e-06,0.358,0.139,136.596,272133
31,5qFPs70nZD1fQZOi7u7cIZ,Wake Me Up Before You Go-Go - Remastered,Wham!,54,5HaOXSCK1IlwzV4ve7CUKY,Twenty Five,11/11/2006,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.607,0.795,0,-5.137,1,0.0496,0.0986,0,0.059,0.815,81.298,232280
32,0LRI2FRHn6EneMfcLAECGr,Kintaro,Stefan Vilijn,0,3aZqD1OPETnqGxOrJX2waV,Latin Village 2014,8/1/2014,Latin Village 2019,3JcJCsvBnRsA6oc7eUYDSB,latin,latin hip hop,0.891,0.948,3,-4.873,0,0.142,0.000152,0.751,0.192,0.568,124.992,303555
33,1YPsBcPaUgzDLVMnkNjezF,Deserter,Jones Meadow,45,6WqF77ilKp8ui2RlGIYmAp,Down Here with You,7/26/2019,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.711,0.873,10,-8.613,0,0.0393,0.0165,0.742,0.16,0.795,120.002,210875
34,2U4tbK3U9DFdZvhLNagF5V,Strip That Down (feat. Quavo),Liam Payne,71,52pHDA5D1zt7xcfJdOkHWx,LP1,12/6/2019,Intro to Post-Teen Pop,6o6MNYZqHSkMAKcCHPNu7K,pop,post-teen pop,0.873,0.495,6,-5.446,1,0.0518,0.199,0,0.0805,0.546,106.033,202062
35,7q85sngNN23APYpE03lFHu,Haan Bhai,Fotty Seven,44,4XSZAJ6k3g87Eva3czMxr2,Haan Bhai,7/12/2019,RAP 91,37i9dQZF1DX1ct2TQrAvRf,rap,hip hop,0.74,0.721,1,-6.323,1,0.177,0.762,0,0.0922,0.331,119.956,209507
36,0kPIrtp3youhat1nkmPACX,Write It Down,Hamzaa,51,04QYg0Crlk7ZQDEtUuR6zi,Write It Down,10/30/2019,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.499,0.578,10,-5.126,0,0.0874,0.352,0,0.0785,0.353,164.004,215041
37,3kSsbFBOdaflBNNJkiG1ja,New Rose,Guns N' Roses,49,4ieR19hRkKeE81CalJPQNu,The Spaghetti Incident?,1/1/1993,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.331,0.965,3,-2.918,1,0.143,0.000112,9.85e-05,0.312,0.342,176.988,158360
38,04e0UD928HhPrufz60LZ3e,Frikitona,Plan B,34,5IKnCH705wMVNsCqzVvdEq,El Documental II,1/1/2006,Reggaeton De Ayer,37i9dQZF1DWWU6Rfto8Ppm,latin,reggaeton,0.949,0.872,5,-3.755,1,0.16,0.319,0,0.385,0.857,120.096,183066
39,6EqT8NTv64FId3JvxBe7mP,Bulletproof,Raheem DeVaughn,30,0mnSA6vwMV26v6GWIrRM7Q,The Love & War MasterPeace,2/26/2010,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.671,0.76,0,-5.933,1,0.114,0.0589,0,0.316,0.604,141.982,283516
40,1SqHHN5Mqy13gHbDGjTaU7,Back to Earth (feat. Fall Out Boy),Steve Aoki,48,3KYFjFzw34AhmlxQC8r5W6,Neon Future I,9/29/2014,"Electrónica, Progressive House, Electro House y más 🎧",0o5gKmuET7F3lQnpFxvPO8,edm,progressive electro house,0.585,0.906,4,-3.044,0,0.228,0.0268,0,0.0482,0.209,128.072,243747
41,79gkHjNTSyGPXEyGkNQ8zH,Cuando Me Enamoro,Enrique Iglesias,65,12HeDZhPHHzCe7VE0uEYwD,Euphoria (Standard US/Latin version),1/1/2010,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT,latin,latin pop,0.821,0.819,1,-3.627,1,0.0272,0.0104,5.49e-05,0.145,0.893,126.03,200347
42,2r9210ixI5FD7YPopfJXnf,J'veux un mec - Marlon B,Adrienne Pauly,26,5bfcq34bqvrU0IMQ2upBQu,Adrienne Pauly,9/18/2006,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.754,0.794,9,-5.139,1,0.107,0.0275,0,0.116,0.748,122.049,253493
43,1Ff71LUQO0KBk5Slu3K6Vu,Cry for Me,Camila Cabello,70,3Vsbl0diFGw8HNSjG8ue9m,Romance,12/6/2019,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.721,0.805,9,-4.134,0,0.0927,0.05,0,0.153,0.653,118.058,189133
44,39sIYwLYquEkGkmRMPHkH4,Get What You Give,Felix Cartal,0,3Nd7u3u20XH6harNNzSwxM,Get What You Give,6/9/2017,Indie Poptimism,2QiMewRbSavfZ9MSAYz2h6,pop,indie poptimism,0.619,0.767,1,-5.926,1,0.0358,0.0155,0,0.12,0.247,121.04,219174
45,2acGrERwIyVXsbJvvqS9h3,Veneno,BB Nobre,49,5LwwgRfM4Z8LniVII7HFVj,Por Fin - EP,11/22/2019,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,0.779,0.821,2,-2.823,1,0.0568,0.246,0,0.162,0.224,95.982,172146
46,0mTKJnVf6GcujyDr1PZn0Q,Jerry Sprunger (with T-Pain),Tory Lanez,56,6F8mOzZgINIIQDjCaegXH4,Jerry Sprunger (with T-Pain),11/8/2019,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.694,0.744,0,-5.334,0,0.297,0.144,0,0.0905,0.425,99.941,233546
47,00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Babyface,36,51fAXJ5bMn7DRSunXQ6PMb,Tender Lover,7/7/1989,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.743,0.86,5,-6.346,1,0.0445,0.226,0.000422,0.0513,0.687,102.459,259267
48,1O0JFJ4RCWcKM4DjB7h3Dy,Raw,Rippa da Kid,1,6FjchKMXY912R25UXEGNZ5,Built for This,3/23/2017,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.54,0.877,1,-4.263,0,0.18,0.271,0,0.161,0.45,103.073,202633
49,0yYikBy6sQAI3n6QbQPYw5,Big Scene,Diljit Dosanjh,44,5XrmpQEvCaqW8jRA1pwtwD,Con.Fi.Den.Tial,2/26/2018,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,0.663,0.69,4,-6.038,1,0.209,0.184,0,0.103,0.81,149.912,207300
50,1afAuu13OoyHaNqVRgNm92,We All Die One Day,Obie Trice,0,5g2neeRLuedoLAU2kFKxbj,Cheers,1/1/2003,Gangster Rap | 100 % Gangster,2e0d7otcM1oyecfi3zZPWk,rap,gangster rap,0.803,0.875,4,-2.837,1,0.24,0.0229,0,0.368,0.356,93.958,329427
51,5UYPZZDQfpCE7A0FDDqv4k,Foreplay / Long Time,Boston,11,01OahkTPRCleDjobtRk7ST,Boston,1976,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.436,0.657,5,-8.868,1,0.0541,0.00975,0.00748,0.0931,0.21,118.693,467640
52,7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,Justin Timberlake,74,6QPkyl04rXwTGlGlcYaRoW,Justified,11/4/2002,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.624,0.653,8,-6.582,0,0.176,0.575,0,0.104,0.565,73.884,288333
53,45wneA2j0Z0WMnYNDO6Ad0,Back & Forth,Aaliyah,57,3E3QRjL4Cre7Krms420Irl,Age Ain't Nothing But A Number,5/22/1994,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.706,0.727,5,-8.06,1,0.0317,0.0698,5.31e-06,0.115,0.903,92.938,231093
54,3LfHBTYZBTqmz43tvVXJBd,Deep,Summer Walker,67,4hTM8jZ8DCCqglmZUDMSPz,Last Day Of Summer,10/19/2018,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.646,0.335,3,-9.915,0,0.247,0.626,1.3e-05,0.107,0.419,167.927,92093
55,2xqeIc7SDmbirKPGYhrKEG,Capricorn,Elderbrook,31,3EWFbpqL5iBAL9L7Zoydxj,Old Friend,11/27/2018,POPTIMISM,6lWMi4lPiiPwDqn8ZpeyAY,pop,indie poptimism,0.831,0.847,11,-5.733,1,0.0445,0.00709,0.648,0.158,0.874,121.006,169754
56,5VLuVbmpfP6s2oWVvbUdYp,Roter Stern,Centhron,0,6XImY4bydHpVDzzZd8v6QT,Roter Stern,8/28/2009,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.492,0.983,9,-5.129,0,0.0721,0.000117,0.794,0.348,0.457,142.041,334480
57,3icBDBRl7DcA5ZjMkN5O0G,ocean.dance.,Fushou.,41,3aA6T0v54H0ruKYstpMFJ3,revelation.,7/21/2018,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.529,0.398,8,-11.062,1,0.567,0.956,0.943,0.118,0.406,81.216,208193
58,5MPxgVGxq79wcoNKtlRaTf,You Are My Lady,Freddie Jackson,53,4S3z4G29Gm2xxkADtVX5IV,Rock Me Tonight,1/1/1985,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.7,0.254,10,-16.019,1,0.0429,0.46,0,0.1,0.408,91.437,284119
59,2x1LQq8lsUzAA2wNj8yjC9,Pick Up the Pieces,Average White Band,53,5qZVqBEJSq2HkDMh2VCOQ6,AWB,1974,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908
60,7jkDGDuuXVbGLDehfk6ivi,NT Bounce,"Nisse, Ture och Schtekarn",0,2xq6unrAr8w3LGKpYfNDF5,NT Bounce,11/14/2015,@deniceemoberg EDM - POP REMIXES,2fbrY1tuoW8Uji14H7623k,edm,pop edm,0.766,0.671,9,-8.684,1,0.216,0.34,0.000451,0.142,0.292,127.988,171108
61,79B7naQYN34s6lITPdToMQ,Jetlag,Mike Williams,1,1wOqNm0qvW26gv8ju09hpv,Jetlag,9/4/2017,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.659,0.946,1,-3.071,1,0.0504,0.0128,0.794,0.148,0.487,128.019,142521
62,6Wt5QBzHp9vdSLAFlvdnDQ,"I Need a Girl, Pt. 2 (feat. Loon, Ginuwine & Mario Winans)",Diddy,67,46JQVqJpOg8opDLUl1qHT1,Bad Boy's 10th Anniversary- The Hits,3/9/2004,90s/00s Hip Hop & RnB,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,hip pop,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.781,199.765,285587
63,4N1r70StM4WeymDNajIJQ6,Underground,bad nelson,22,4t4YCMTeNolYI0RziTnUnO,Underground,10/4/2019,Big Room EDM - by Spinnin' Records,7xWdFCrU5Gka6qp1ODrSdK,edm,big room,0.634,0.906,5,-5.106,0,0.0492,0.0449,0.0524,0.193,0.347,126.061,130000
64,1rjqA5A929xIcko5FCgOyN,Look Right Through - MK Vocal Edit,Storm Queen,26,2FJ9DFtrwULvEZJzq1xfUQ,Look Right Through (MK Vocal Edit),12/10/2013,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.833,0.82,0,-7.989,0,0.0841,0.00208,0.00306,0.28,0.517,119.979,148400
65,3L6S3Px2rdU0HprDo2Famq,Poke,Childish Gambino,0,5GBcqixIFDPEom7AUNbFiM,Kauai,10/3/2014,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.46,0.768,9,-5.827,0,0.193,0.0176,0,0.0661,0.6,150.061,216093
66,6iV7QmMUPadq6osYqSM2wF,You Ain't Know,Birdman,42,3DLSu5fxSIaG7Ph8G5YVBp,Like Father Like Son,1/1/2006,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.88,0.623,1,-7.885,0,0.353,0.0956,0,0.151,0.848,153.085,264133
67,047fCsbO4NdmwCBn8pcUXl,Marvins Room,Drake,74,6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),11/15/2011,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,347227
68,4wZzdnhpV0cjSlfh3fZvhp,Is It Good To You,Teddy Riley,0,47ugh8wH4vjM8IPMPwtegZ,Juice (Original Motion Picture Soundtrack),12/31/1991,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.774,0.81,1,-7.775,1,0.0649,0.0677,0.000701,0.0269,0.526,107.709,257400
69,58XL4UmErguprvN7oJQM03,Sinulog Anthem - Original Mix,Jenil,36,6OZnuiAStjvibfZxsczaMN,Sinulog Anthem,1/15/2017,SINULOG Festival 2020,0COM4nZqdXC3sMjVdcaU7V,edm,big room,0.573,0.92,10,-3.925,0,0.0367,0.000226,0.914,0.065,0.545,128.015,240011
70,4mM90OUhSN79RRKT0qv4dY,Fuera del Planeta,Randy,51,1b1Wab99cO3K0Zl26MYXMS,Fuera del Planeta,7/14/2018,Reggaeton De Ayer,37i9dQZF1DWWU6Rfto8Ppm,latin,reggaeton,0.702,0.864,1,-5.496,1,0.0818,0.108,0,0.187,0.788,94.994,215118
71,3TTWvQKBMt1SfsPHSnHJTS,Chega de Falar de Ice,Leozin,21,6facqUfBoHSvIGfKapng7g,Chega de Falar de Ice,1/25/2019,Trapperz Brasil,37i9dQZF1DWWr5uieiPUVM,rap,trap,0.609,0.464,11,-8.509,1,0.212,0.222,0,0.104,0.265,129.824,177245
72,4gVAUsZAzft2g9Ef5CYvSE,Weekend,Jordan Burns,0,1e0UbETkplnooD4zPsGxrC,This Ain't Bristol - Celebrations,7/28/2017,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.957,0.459,10,-7.929,1,0.12,0.000225,0.752,0.107,0.394,120.006,305686
73,3O8X1DE9btbzy4UH9cSX9a,Borderline,Tame Impala,76,5zGidcaAvNahQrYhyQwAQn,Borderline,4/12/2019,Ultimate Indie Presents... Best Tracks of 2019,37i9dQZF1DWTc5QDlvD7t0,r&b,hip pop,0.598,0.71,0,-6.839,0,0.0272,0.0476,1.77e-05,0.1,0.726,97.976,274294
74,0VYQK5I08homNvX8SRS37R,Heroes (we could be),Alesso,10,2RE7Fq5gQ7K78MDwVBkkZ4,Heroes (we could be),9/15/2014,big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO,2oalsaFUockoPf1DU3wrL8,edm,big room,0.516,0.749,5,-4.091,1,0.0692,0.031,0,0.205,0.356,125.92,209867
75,24uXqQ1a4lB0ByAkLAzLMh,Facts,Karan Aujla,39,6WwUZIxKCemMDvwkHt0SLE,Facts,4/17/2019,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,0.87,0.76,11,-6.187,0,0.314,0.191,0,0.0921,0.635,109.901,163190
76,5LKvZJTAJlNoVuILrGCY1K,Fighting Temptation,Deitrick Haddon,17,7tAv6YInjBhHbBjs8tqNlk,Church On The Moon,1/21/2011,Gospel,0pItJZBDZFvgAOdFnSITnJ,r&b,urban contemporary,0.743,0.753,1,-6.579,0,0.176,0.00214,2.62e-06,0.34,0.741,120.029,245147
77,4DXjfzDxkhD5eYGk03LoA6,Keep On Lovin',Cat Dealers,63,1n4NstzUwGptkRiLuyzEuk,Keep On Lovin',9/14/2018,New House   ‍,54XvQQsViMBwjO1ws2o2wx,edm,electro house,0.601,0.726,1,-4.827,1,0.0804,0.0053,0,0.0638,0.256,124.078,208910
78,4ooxGxWbItZv2pnND3tYZj,Shake The Tree,Simon Field,54,5MQfqc6EcUc1h2Haz5zkh3,Shake The Tree,1/25/2019,Tropical House 2020,2oivDYqm1dQK4KbwVJTaf6,latin,tropical,0.589,0.871,11,-5.698,1,0.0342,0.00215,9.42e-05,0.378,0.237,123.005,184372
